hash_type,hash,removed_partition,removed_path,matched_final_partitions
sha256,07b9b0a3395d6643e0033f5327c188305479c20a67b9e0081efec85139d63306,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Blueberry leaf\5045768c2e50b36354e11a11.jpg,ood_test
sha256,3c52144e19e95cc3d4170407eaf729d0981b934615eaa183f7f5aa29d8ef265a,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Tomato leaf yellow virus\3fd44ffc8c641c38e61ad040.jpg,ood_test
sha256,64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Potato leaf late blight\33c804f1174ecdaacf547623.jpg,ood_test
sha256,6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,train,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Corn Gray leaf spot\d2fc0981e3a43fb00a965a4e.jpg,ood_test
sha256,9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,train,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Corn Gray leaf spot\961d63fe819ba39bd9f802da.jpg,ood_test
sha256,93c989d8551209bf34d4002ee9fae48ddbf6ab66fc3c27466c0473bcc7c0a2b7,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Tomato Septoria leaf spot\2184ec0dac5f895ee555558c.jpg,ood_test
sha256,9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Potato leaf early blight\cc180eb08ce19a4b291d67f7.jpg,ood_test
sha256,a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Potato leaf early blight\e190b71248a999a027c787af.jpg,ood_test
sha256,c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Potato leaf early blight\12d49bd1e6cd85185c7ec133.jpg,ood_test
sha256,e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Tomato Septoria leaf spot\246b96a43f1b42e9cef15669.jpg,ood_test
sha256,ee3838e2249e671b7b4510b0d3831f30882e2bcbf20c9c8c42ee8f4e1b95fcce,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Corn leaf blight\521ef381ee9b1af811f3f1dc.jpg,external_field_test
phash,8821f58eaf1ff409,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Blueberry leaf\5045768c2e50b36354e11a11.jpg,ood_test
phash,945158da4c76e2f6,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Tomato leaf bacterial spot\f955feb3c85b556cf4c24977.jpg,ood_test
phash,94666a994d251b3f,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Corn leaf blight\521ef381ee9b1af811f3f1dc.jpg,external_field_test
phash,95859e52aaaa7715,train,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Corn Gray leaf spot\961d63fe819ba39bd9f802da.jpg,ood_test
phash,9875f2e3f24a8722,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Tomato Early blight leaf\c763083c0fdbc46ac85b4cd7.jpg,ood_test
phash,9be4e61d081bf0b6,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Tomato leaf yellow virus\3fd44ffc8c641c38e61ad040.jpg,ood_test
phash,aad89505d277cb2a,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Potato leaf early blight\12d49bd1e6cd85185c7ec133.jpg,ood_test
phash,c0f82e7e58b09f0d,train,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Corn Gray leaf spot\d2fc0981e3a43fb00a965a4e.jpg,ood_test
phash,c88b5ce37fa88057,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Tomato Septoria leaf spot\2184ec0dac5f895ee555558c.jpg,ood_test
phash,cfc3708b92570ba5,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Potato leaf early blight\e190b71248a999a027c787af.jpg,ood_test
phash,cfc3708b92570ba5,ood_calibration,C:\Users\张嘉璐\Documents\Codex\2026-07-24\new-chat\work\training_run\.maize_disease_agronomist_cache\PlantDoc-Dataset-windows-safe\train\Tomato leaf late blight\b8bca3f1a5ccd16f369e21e5.jpg,ood_test
